PlayerName,PlayerNation,Username,DOB,Experience,Role,GearModel,GearType,GearManufacturer,StartingPrice,GearLink,UsedGearSince,TeamName,TeamSponsor,TeamFounded,MatchID,MatchTime,MatchScore,MatchWatchTime,MatchStats,GameName,EventName,EventLivestream,EventLocation,EventStart,EventEnd,HostOrgName,EventSponsor,HostOrgContact,TeamPlacement
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,DeathAdder,Mouse,Razer,27,https://shorturl.at/cgkS0,5/23/2021,G2,Red Bull,2013,1,2022-11-27 23:36:12,2-0,11.81106,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,RK61,Keyboard,Royal Kludge,50,https://shorturl.at/etGT5,2/28/2023,G2,Red Bull,2013,1,2022-11-27 23:36:12,2-0,11.81106,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,"Nitro 27""",Monitor,Acer,200,https://shorturl.at/lBDLX,1/1/2022,G2,Red Bull,2013,1,2022-11-27 23:36:12,2-0,11.81106,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,Cloud Alpha,Headphones,HyperX,90,https://shorturl.at/mBZ39,9/29/2023,G2,Red Bull,2013,1,2022-11-27 23:36:12,2-0,11.81106,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,DeathAdder,Mouse,Razer,27,https://shorturl.at/cgkS0,5/23/2021,G2,Red Bull,2013,2,2021-06-07 10:46:59,5-1,23.62212,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,RK61,Keyboard,Royal Kludge,50,https://shorturl.at/etGT5,2/28/2023,G2,Red Bull,2013,2,2021-06-07 10:46:59,5-1,23.62212,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,"Nitro 27""",Monitor,Acer,200,https://shorturl.at/lBDLX,1/1/2022,G2,Red Bull,2013,2,2021-06-07 10:46:59,5-1,23.62212,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,Cloud Alpha,Headphones,HyperX,90,https://shorturl.at/mBZ39,9/29/2023,G2,Red Bull,2013,2,2021-06-07 10:46:59,5-1,23.62212,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,DeathAdder,Mouse,Razer,27,https://shorturl.at/cgkS0,5/23/2021,G2,Red Bull,2013,3,2021-07-09 19:33:23,2-2,35.43318,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
Johan Sundstein,Denmark,N0tail,1/1/2001,3,Tank,RK61,Keyboard,Royal Kludge,50,https://shorturl.at/etGT5,2/28/2023,G2,Red Bull,2013,3,2021-07-09 19:33:23,2-2,35.43318,,Valorant,VALORANT Challengers 2024,https://www.youtube.com/watch?v=dQw4w9WgXcQ,United States,11/27/2022,11/30/2022,Riot,Prime Gaming,prime@fakecontact.org,3
